year,market,riceIndex,evidence,sourceNote
1971,edo,0.5134,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1972,edo,0.4695,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1973,edo,0.4541,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1974,edo,0.4709,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1975,edo,0.4464,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1976,edo,0.4929,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1977,edo,0.4466,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1978,edo,0.4273,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1979,edo,0.4439,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1980,edo,0.5126,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1981,edo,0.4565,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1982,edo,0.4693,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1983,edo,0.4604,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1984,edo,0.4137,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1985,edo,0.4283,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1986,edo,0.4198,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1987,edo,0.4301,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1988,edo,0.4405,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1989,edo,0.4285,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1990,edo,0.4223,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1991,edo,0.4513,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1992,edo,0.4191,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1993,edo,0.5345,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1994,edo,0.3878,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1995,edo,0.4092,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1996,edo,0.4017,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1997,edo,0.4137,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1998,edo,0.4246,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
1999,edo,0.4140,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2000,edo,0.3935,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2001,edo,0.3960,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2002,edo,0.3987,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2003,edo,0.4371,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2004,edo,0.4103,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2005,edo,0.3976,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2006,edo,0.4207,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2007,edo,0.4063,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2008,edo,0.3886,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2009,edo,0.4029,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2010,edo,0.4056,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2011,edo,0.3954,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2012,edo,0.3935,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2013,edo,0.3937,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2014,edo,0.3995,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2015,edo,0.4007,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2016,edo,0.3895,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2017,edo,0.3941,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2018,edo,0.3982,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2019,edo,0.4063,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2020,edo,0.4076,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2021,edo,0.3959,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
2022,edo,0.3937,real_yield_inverse,figshare CC-BY 4.0 rice yield inverse (Buareal et al. 10.6084/m9.figshare.29135699)
